trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
148,False,"{'a': 0.3, 'e': 1}",20,0,-48.641282229255054,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
149,False,"{'a': 0.3, 'e': 1}",20,0,-52.78514950223684,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
150,False,"{'a': 0.3, 'e': 1}",30,0,-104.82492784038821,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
151,False,"{'a': 0.3, 'e': 1}",35,0,-198.0255791916852,"{0: 23, 1: 2, 2: 6, 3: 0, 4: 4}",0
152,False,"{'a': 0.3, 'e': 1}",25,0,-45.76351860551334,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
153,False,"{'a': 0.3, 'e': 1}",30,0,-166.7397192835057,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
154,False,"{'a': 0.3, 'e': 1}",20,0,-119.27583370589682,"{0: 11, 1: 4, 2: 1, 3: 3, 4: 1}",0
155,False,"{'a': 0.3, 'e': 1}",35,0,-276.91817373741554,"{0: 19, 1: 2, 2: 7, 3: 3, 4: 4}",0
156,False,"{'a': 0.3, 'e': 1}",30,0,-174.71049680390684,"{0: 15, 1: 5, 2: 7, 3: 1, 4: 2}",0
157,False,"{'a': 0.3, 'e': 1}",25,0,-159.4125400407073,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
158,False,"{'a': 0.3, 'e': 1}",20,11,-0.16859868955741275,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.3, 'e': 1}",30,0,-96.80726898278219,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
160,False,"{'a': 0.3, 'e': 1}",20,0,-101.34375669874655,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
161,False,"{'a': 0.3, 'e': 1}",25,0,-121.57217806075957,"{0: 14, 1: 0, 2: 10, 3: 0, 4: 1}",0
162,False,"{'a': 0.3, 'e': 1}",20,0,-122.39236037106706,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
163,False,"{'a': 0.3, 'e': 1}",35,0,-116.94290432787615,"{0: 20, 1: 2, 2: 13, 3: 0, 4: 0}",0
164,False,"{'a': 0.3, 'e': 1}",20,0,-43.578980296188185,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
165,False,"{'a': 0.3, 'e': 1}",20,0,-78.02783436527406,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
166,False,"{'a': 0.3, 'e': 1}",20,1,-67.54661046868011,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 1}",1
167,False,"{'a': 0.3, 'e': 1}",20,0,-78.80927742320736,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
168,False,"{'a': 0.3, 'e': 1}",25,0,-146.4386116486885,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
169,False,"{'a': 0.3, 'e': 1}",20,0,-151.58955064305655,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
170,False,"{'a': 0.3, 'e': 1}",20,0,-156.08923287709794,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 3}",0
171,False,"{'a': 0.3, 'e': 1}",20,0,-129.95862111919823,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
172,False,"{'a': 0.3, 'e': 1}",20,0,-143.7898666224441,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
173,False,"{'a': 0.3, 'e': 1}",20,0,-111.32005166609859,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
174,False,"{'a': 0.3, 'e': 1}",30,0,-84.9043075744753,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 0}",0
175,False,"{'a': 0.3, 'e': 1}",20,0,-106.74414583344472,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
176,False,"{'a': 0.3, 'e': 1}",20,0,-58.307177021571356,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
177,False,"{'a': 0.3, 'e': 1}",20,0,-93.97616952948492,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
178,False,"{'a': 0.3, 'e': 1}",25,0,-64.84107672208674,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
179,False,"{'a': 0.3, 'e': 1}",20,0,-119.95765931987214,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
180,False,"{'a': 0.3, 'e': 1}",30,13,-166.8557785300195,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 4}",1
181,False,"{'a': 0.3, 'e': 1}",25,0,-119.68893816310037,"{0: 17, 1: 3, 2: 0, 3: 4, 4: 1}",0
182,False,"{'a': 0.3, 'e': 1}",25,0,-155.78436476014468,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
183,False,"{'a': 0.3, 'e': 1}",20,0,-128.127492565803,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
184,False,"{'a': 0.3, 'e': 1}",20,6,-80.4177299893187,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 1}",1
185,False,"{'a': 0.3, 'e': 1}",20,0,-80.73669576366333,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
186,False,"{'a': 0.3, 'e': 1}",20,0,-110.54403150037837,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
187,False,"{'a': 0.3, 'e': 1}",20,0,-55.644469561899534,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
188,False,"{'a': 0.3, 'e': 1}",35,3,-104.32166783173349,"{0: 22, 1: 5, 2: 3, 3: 0, 4: 2}",1
189,False,"{'a': 0.3, 'e': 1}",25,0,-56.67872033173534,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
